pair,collector,stamp,n_nodes,n_edges,n_self_loops,n_dup_edges,snapshot_ts
rrc18_as766,rrc18,20260401_0000,3914,7597,0,0,2026-04-01T00:00:00+00:00
rrc18_as766,rrc18,20260401_0800,3912,7544,0,0,2026-04-01T08:00:00+00:00
rrc18_as766,rrc18,20260401_1600,3912,7658,0,0,2026-04-01T16:00:00+00:00
rrc18_as766,rrc18,20260402_0000,3914,7541,0,0,2026-04-02T00:00:00+00:00
rrc18_as766,rrc18,20260402_0800,3911,7583,0,0,2026-04-02T08:00:00+00:00
rrc18_as766,rrc18,20260402_1600,3913,7595,0,0,2026-04-02T16:00:00+00:00
rrc18_as766,rrc18,20260403_0000,3914,7600,0,0,2026-04-03T00:00:00+00:00
rrc18_as766,rrc18,20260403_0800,3907,7537,0,0,2026-04-03T08:00:00+00:00
rrc18_as766,rrc18,20260403_1600,3911,7585,0,0,2026-04-03T16:00:00+00:00
rrc18_as766,rrc18,20260404_0000,3916,7583,0,0,2026-04-04T00:00:00+00:00
rrc18_as766,rrc18,20260404_0800,3913,7582,0,0,2026-04-04T08:00:00+00:00
rrc18_as766,rrc18,20260404_1600,3916,7584,0,0,2026-04-04T16:00:00+00:00
rrc18_as766,rrc18,20260405_0000,3916,7535,0,0,2026-04-05T00:00:00+00:00
rrc18_as766,rrc18,20260405_0800,3916,7587,0,0,2026-04-05T08:00:00+00:00
rrc18_as766,rrc18,20260405_1600,3921,7627,0,0,2026-04-05T16:00:00+00:00
rrc18_as766,rrc18,20260406_0000,3917,7549,0,0,2026-04-06T00:00:00+00:00
rrc18_as766,rrc18,20260406_0800,3915,7549,0,0,2026-04-06T08:00:00+00:00
rrc18_as766,rrc18,20260406_1600,3917,8007,0,0,2026-04-06T16:00:00+00:00
rrc18_as766,rrc18,20260407_0000,3920,7936,0,0,2026-04-07T00:00:00+00:00
rrc18_as766,rrc18,20260407_0800,3919,7892,0,0,2026-04-07T08:00:00+00:00
rrc18_as766,rrc18,20260407_1600,3916,7938,0,0,2026-04-07T16:00:00+00:00
rrc18_as766,rrc18,20260408_0000,3912,7872,0,0,2026-04-08T00:00:00+00:00
rrc18_as766,rrc18,20260408_0800,3904,7578,0,0,2026-04-08T08:00:00+00:00
rrc18_as766,rrc18,20260408_1600,3907,7571,0,0,2026-04-08T16:00:00+00:00
rrc18_as766,rrc18,20260409_0000,3916,7559,0,0,2026-04-09T00:00:00+00:00
rrc18_as766,rrc18,20260409_0800,3918,7939,0,0,2026-04-09T08:00:00+00:00
rrc18_as766,rrc18,20260409_1600,3911,7530,0,0,2026-04-09T16:00:00+00:00
rrc18_as766,rrc18,20260410_0000,3911,7886,0,0,2026-04-10T00:00:00+00:00
rrc18_as766,rrc18,20260410_0800,3911,7582,0,0,2026-04-10T08:00:00+00:00
rrc18_as766,rrc18,20260410_1600,3910,7924,0,0,2026-04-10T16:00:00+00:00
rrc18_as766,rrc18,20260411_0000,3908,7519,0,0,2026-04-11T00:00:00+00:00
rrc18_as766,rrc18,20260411_0800,3906,7557,0,0,2026-04-11T08:00:00+00:00
rrc18_as766,rrc18,20260411_1600,3910,7634,0,0,2026-04-11T16:00:00+00:00
rrc18_as766,rrc18,20260412_0000,3909,7570,0,0,2026-04-12T00:00:00+00:00
rrc18_as766,rrc18,20260412_0800,3908,7572,0,0,2026-04-12T08:00:00+00:00
rrc18_as766,rrc18,20260412_1600,3911,7538,0,0,2026-04-12T16:00:00+00:00
rrc18_as766,rrc18,20260413_0000,3915,7542,0,0,2026-04-13T00:00:00+00:00
rrc18_as766,rrc18,20260413_0800,3914,7697,0,0,2026-04-13T08:00:00+00:00
rrc18_as766,rrc18,20260413_1600,3908,7528,0,0,2026-04-13T16:00:00+00:00
rrc18_as766,rrc18,20260414_0000,3913,7576,0,0,2026-04-14T00:00:00+00:00
rrc18_as766,rrc18,20260414_0800,3915,7926,0,0,2026-04-14T08:00:00+00:00
rrc18_as766,rrc18,20260414_1600,3914,7539,0,0,2026-04-14T16:00:00+00:00
rrc18_as766,rrc18,20260415_0000,3917,7527,0,0,2026-04-15T00:00:00+00:00
rrc18_as766,rrc18,20260415_0800,3920,7585,0,0,2026-04-15T08:00:00+00:00
rrc18_as766,rrc18,20260415_1600,3918,7599,0,0,2026-04-15T16:00:00+00:00
rrc18_as766,rrc18,20260416_0000,3920,7892,0,0,2026-04-16T00:00:00+00:00
rrc18_as766,rrc18,20260416_0800,3917,8241,0,0,2026-04-16T08:00:00+00:00
rrc18_as766,rrc18,20260416_1600,3919,7924,0,0,2026-04-16T16:00:00+00:00
rrc18_as766,rrc18,20260417_0000,3915,7912,0,0,2026-04-17T00:00:00+00:00
rrc18_as766,rrc18,20260417_0800,3915,7534,0,0,2026-04-17T08:00:00+00:00
rrc18_as766,rrc18,20260417_1600,3924,8365,0,0,2026-04-17T16:00:00+00:00
rrc18_as766,rrc18,20260418_0000,3928,7920,0,0,2026-04-18T00:00:00+00:00
rrc18_as766,rrc18,20260418_0800,3924,7941,0,0,2026-04-18T08:00:00+00:00
rrc18_as766,rrc18,20260418_1600,3926,7565,0,0,2026-04-18T16:00:00+00:00
rrc18_as766,rrc18,20260419_0000,3927,7609,0,0,2026-04-19T00:00:00+00:00
rrc18_as766,rrc18,20260419_0800,3927,7907,0,0,2026-04-19T08:00:00+00:00
rrc18_as766,rrc18,20260419_1600,3929,7959,0,0,2026-04-19T16:00:00+00:00
rrc18_as766,rrc18,20260420_0000,3930,7848,0,0,2026-04-20T00:00:00+00:00
rrc18_as766,rrc18,20260420_0800,3928,8159,0,0,2026-04-20T08:00:00+00:00
rrc18_as766,rrc18,20260420_1600,3928,8163,0,0,2026-04-20T16:00:00+00:00
rrc18_as766,rrc18,20260421_0000,3925,7840,0,0,2026-04-21T00:00:00+00:00
rrc18_as766,rrc18,20260421_0800,3923,7836,0,0,2026-04-21T08:00:00+00:00
rrc18_as766,rrc18,20260421_1600,3926,8225,0,0,2026-04-21T16:00:00+00:00
rrc18_as766,rrc18,20260422_0000,3914,7817,0,0,2026-04-22T00:00:00+00:00
rrc18_as766,rrc18,20260422_0800,3918,7778,0,0,2026-04-22T08:00:00+00:00
rrc18_as766,rrc18,20260422_1600,3923,7946,0,0,2026-04-22T16:00:00+00:00
rrc18_as766,rrc18,20260423_0000,3926,8476,0,0,2026-04-23T00:00:00+00:00
rrc18_as766,rrc18,20260423_0800,3923,8425,0,0,2026-04-23T08:00:00+00:00
rrc18_as766,rrc18,20260423_1600,3914,8094,0,0,2026-04-23T16:00:00+00:00
rrc18_as766,rrc18,20260424_0000,3912,7749,0,0,2026-04-24T00:00:00+00:00
rrc18_as766,rrc18,20260424_0800,3913,7797,0,0,2026-04-24T08:00:00+00:00
rrc18_as766,rrc18,20260424_1600,3918,7836,0,0,2026-04-24T16:00:00+00:00
rrc18_as766,rrc18,20260425_0000,3912,8141,0,0,2026-04-25T00:00:00+00:00
rrc18_as766,rrc18,20260425_0800,3875,7750,0,0,2026-04-25T08:00:00+00:00
rrc18_as766,rrc18,20260425_1600,3876,7744,0,0,2026-04-25T16:00:00+00:00
rrc18_as766,rrc18,20260426_0000,3896,8052,0,0,2026-04-26T00:00:00+00:00
rrc18_as766,rrc18,20260426_0800,3905,8076,0,0,2026-04-26T08:00:00+00:00
rrc18_as766,rrc18,20260426_1600,3922,8109,0,0,2026-04-26T16:00:00+00:00
rrc18_as766,rrc18,20260427_0000,3922,8106,0,0,2026-04-27T00:00:00+00:00
rrc18_as766,rrc18,20260427_0800,3920,7787,0,0,2026-04-27T08:00:00+00:00
rrc18_as766,rrc18,20260427_1600,3918,7762,0,0,2026-04-27T16:00:00+00:00
rrc18_as766,rrc18,20260428_0000,3920,8063,0,0,2026-04-28T00:00:00+00:00
rrc18_as766,rrc18,20260428_0800,3906,7781,0,0,2026-04-28T08:00:00+00:00
rrc18_as766,rrc18,20260428_1600,3911,7802,0,0,2026-04-28T16:00:00+00:00
rrc18_as766,rrc18,20260429_0000,3920,8084,0,0,2026-04-29T00:00:00+00:00
rrc18_as766,rrc18,20260429_0800,3919,7830,0,0,2026-04-29T08:00:00+00:00
rrc18_as766,rrc18,20260429_1600,3919,7833,0,0,2026-04-29T16:00:00+00:00
