balance_fit,pair,classifier,view,seed,macro_f1__pre,pr_auc_anomaly__pre,recall_anomaly__pre,macro_f1__post,pr_auc_anomaly__post,recall_anomaly__post,macro_f1__delta,pr_auc_anomaly__delta,recall_anomaly__delta,abs_delta_macro_f1,status
none,rrc04_as12880__to__rrc05_as12880,lstm,fusion_early,0,0.095843,0.144945,1.0,0.095842589654078,0.1449451514272967,1.0,-4.1034592199173936e-07,1.5142729670181154e-07,0.0,4.1034592199173936e-07,PASS
none,rrc04_as12880__to__rrc05_as12880,lstm,fusion_early,1,0.095843,0.202349,1.0,0.095842589654078,0.2023486965667157,1.0,-4.1034592199173936e-07,-3.0343328430437744e-07,0.0,4.1034592199173936e-07,PASS
none,rrc04_as12880__to__rrc05_as12880,lstm,fusion_early,2,0.095843,0.303457,1.0,0.095842589654078,0.3034569462951521,1.0,-4.1034592199173936e-07,-5.370484790212515e-08,0.0,4.1034592199173936e-07,PASS
none,rrc04_as12880__to__rrc05_as12880,mlp,fusion_early,0,0.095843,0.106002,1.0,0.095842589654078,0.106002106002106,1.0,-4.1034592199173936e-07,1.0600210599565063e-07,0.0,4.1034592199173936e-07,PASS
none,rrc04_as12880__to__rrc05_as12880,mlp,fusion_early,1,0.095843,0.106002,1.0,0.095842589654078,0.106002106002106,1.0,-4.1034592199173936e-07,1.0600210599565063e-07,0.0,4.1034592199173936e-07,PASS
none,rrc04_as12880__to__rrc05_as12880,mlp,fusion_early,2,0.095843,0.106002,1.0,0.095842589654078,0.106002106002106,1.0,-4.1034592199173936e-07,1.0600210599565063e-07,0.0,4.1034592199173936e-07,PASS
none,rrc05_as12880__to__rrc05_as3352,lstm,fusion_early,0,0.047422,0.04985,1.0,0.0474215401631411,0.0498504246743114,1.0,-4.598368588959456e-07,4.24674311404194e-07,0.0,4.598368588959456e-07,PASS
none,rrc05_as12880__to__rrc05_as3352,lstm,fusion_early,1,0.047422,0.035977,1.0,0.0474215401631411,0.0359766473073964,1.0,-4.598368588959456e-07,-3.526926036015454e-07,0.0,4.598368588959456e-07,PASS
none,rrc05_as12880__to__rrc05_as3352,lstm,fusion_early,2,0.047422,0.039933,1.0,0.0474215401631411,0.0399331338183373,1.0,-4.598368588959456e-07,1.3381833730008452e-07,0.0,4.598368588959456e-07,PASS
none,rrc05_as12880__to__rrc05_as3352,mlp,fusion_early,0,0.047422,0.049782,1.0,0.0474215401631411,0.0497822931785195,1.0,-4.598368588959456e-07,2.9317851950316776e-07,0.0,4.598368588959456e-07,PASS
none,rrc05_as12880__to__rrc05_as3352,mlp,fusion_early,1,0.047422,0.049782,1.0,0.0474215401631411,0.0497822931785195,1.0,-4.598368588959456e-07,2.9317851950316776e-07,0.0,4.598368588959456e-07,PASS
none,rrc05_as12880__to__rrc05_as3352,mlp,fusion_early,2,0.047422,0.049782,1.0,0.0474215401631411,0.0497822931785195,1.0,-4.598368588959456e-07,2.9317851950316776e-07,0.0,4.598368588959456e-07,PASS
